[iter 0]:[0.0741 0.0643 0.0718],[0.5893 0.5169 0.4333],[0.8295 0.759  0.6645]
[iter 1]:[0.0836 0.0726 0.0788],[0.57   0.4953 0.4108],[0.7801 0.7076 0.6113]
[iter 2]:[0.0824 0.0716 0.078 ],[0.5454 0.4713 0.3892],[0.7582 0.6846 0.5884]
[iter 3]:[0.0794 0.0691 0.0761],[0.5231 0.4501 0.3708],[0.7444 0.6702 0.5744]
[iter 4]:[0.077  0.067  0.0743],[0.5052 0.4335 0.3568],[0.7352 0.6608 0.5653]
[iter 5]:[0.075  0.0652 0.0728],[0.4902 0.4199 0.3455],[0.7281 0.6535 0.5585]
[iter 6]:[0.0731 0.0635 0.0713],[0.4796 0.4105 0.3382],[0.7243 0.6497 0.5549]
[iter 7]:[0.0719 0.0625 0.0704],[0.471  0.4029 0.3322],[0.7209 0.6462 0.5515]
[iter 8]:[0.071  0.0617 0.0698],[0.4653 0.3977 0.328 ],[0.7187 0.6439 0.5494]
[iter 9]:[0.0703 0.0611 0.0692],[0.4603 0.3932 0.3245],[0.7167 0.6419 0.5476]
[iter 10]:[0.07   0.0608 0.0688],[0.4564 0.3898 0.3219],[0.715  0.6402 0.5459]
[iter 11]:[0.0696 0.0604 0.0685],[0.4533 0.3871 0.3199],[0.7138 0.639  0.5448]
[iter 12]:[0.0692 0.06   0.0681],[0.4514 0.3856 0.3189],[0.7135 0.6386 0.5445]
[iter 13]:[0.069  0.0598 0.068 ],[0.4502 0.3845 0.318 ],[0.7131 0.6383 0.5441]
[iter 14]:[0.0689 0.0597 0.0678],[0.449  0.3835 0.3173],[0.7127 0.6379 0.5437]
[iter 15]:[0.0688 0.0596 0.0678],[0.4481 0.3827 0.3167],[0.7123 0.6374 0.5433]
[iter 16]:[0.0688 0.0596 0.0678],[0.4477 0.3824 0.3164],[0.7122 0.6373 0.5431]
[iter 17]:[0.0687 0.0596 0.0678],[0.4475 0.3822 0.3162],[0.7121 0.6372 0.543 ]
[iter 18]:[0.0687 0.0596 0.0678],[0.4472 0.3819 0.316 ],[0.7119 0.637  0.5429]
[iter 19]:[0.0686 0.0595 0.0677],[0.4468 0.3815 0.3157],[0.7117 0.6369 0.5427]
